'Staffel','Nummer','Deutscher Titel'
1,1,'Hellofriend.mov'
1,2,'Ones-and-zer0es.mpeg'
1,3,'D3bug.mkv'
1,4,'Da3m0ns.mp4'
1,5,'3xpl0its.wmv'
1,6,'Br4ve-trave1er.asf'
1,7,'V1ew-s0urce.flv'
1,8,'Wh1ter0se.m4v'
1,9,'M1rr0r1ng.qt'
1,10,'Zer0-day.avi'
2,1,'unm4sk-pt1.tc'
2,2,'unm4sk-pt2.tc'
2,3,'k3rnel-pan1c.ksd'
2,4,'init1.asec'
2,5,'logic-b0mb.hc'
2,6,'m4ster-s1ave.aes'
2,7,'h4ndshake.sme'
2,8,'succ3ss0r.p12'
2,9,'init5.fve'
2,10,'h1dden-pr0cess.axx'
2,11,'pyth0n-pt1.p7z'
2,12,'pyth0n-pt2.p7z'
3,1,'power-saver-mode.h'
3,2,'undo.gz'
3,3,'legacy.so'
3,4,'metadata.par2'
3,5,'runtime-err0r.r00'
3,6,'kill-process.inc'
3,7,'fredrick+tanya.chk'
3,8,'dont-delete-me.ko'
3,9,'stage3.torrent'
3,10,'shutdown -r'
4,1,
4,2,
4,3,
4,4,
4,5,
4,6,
4,7,
4,8,
4,9,
4,10,
4,11,
4,12,
