'Staffel','Nummer','Deutscher Titel '
1,1,'Einer von uns '
1,2,'Auf der Flucht '
1,3,'Die Wahrheit tut weh '
1,4,'Schießbefehl '
1,5,'Undercover '
1,6,'Unter Beobachtung '
1,7,'Das Haus gegenüber '
1,8,'Mein Geheimnis, dein Geheimnis '
1,9,'Der blinde Fleck '
1,10,'Kein Weg zurück '
1,11,'Der Zünder '
1,12,'Fair Play '
1,13,'Marionetten '
1,14,'Doppelleben '
1,15,'Der Austausch '
1,16,'Abschied '
1,17,'Das trojanische Pferd '
1,18,'Die unsichtbare Barriere '
1,19,'Die Stimme '
1,20,'Das Gesicht zur Stimme '
1,21,'Die Akte Omaha '
1,22,'Die Antwort '
2,1,'Die Farm '
2,2,'Überwachung '
2,3,'Zwei weniger '
2,4,'Stressfaktoren '
2,5,'Illusion '
2,6,'Das Szenario '
2,7,'Hinter der Wand '
2,8,'Die Wahrheit bist du '
2,9,'Mission: Verführung '
2,10,'Die wahre CIA '
2,11,'Schmutzige Hände '
2,12,'Wir sind die Guten '
2,13,'Einzelhaft'
2,14,'Flug RNX 284 '
2,15,'Trollfabriken '
2,16,'Hintermänner '
2,17,'Frau mit Hidschab '
2,18,'Volkes Stimme '
2,19,'Die letzte Chance'
2,20,'Machtwechsel'
2,21,'Hundert Tage'
2,22,'Zwei Wege in die Hölle'
3,1,'Der Code des Gewissens '
3,2,'Willkommen im Krieg '
3,3,'Das Höllentor '
3,4,'Das Spiel der Spione '
3,5,'Mitten in Manhattan '
3,6,'Manchmal stürzt der Himmel ein '
3,7,'Projekt Werwolf '
3,8,'Unter Wasser '
3,9,'Der Zeuge '
3,10,'Devlin`s Drohung '
3,11,'Die Kunst des Krieges '
3,12,'Wir sind Schatten '
3,13,'Wer bist du? '
